Log_Mass,Log_Rad,err_Log_Rad
9.22,0.32,0.20
10.24,1.07,0.20
10.04,0.77,0.20
9.01,0.49,0.20
8.94,0.58,0.20
9.98,0.91,0.20
9.95,0.72,0.20
9.35,0.42,0.20
9.09,0.60,0.20
9.25,0.66,0.20
8.94,0.37,0.20
9.78,0.49,0.20
9.80,0.60,0.20
9.34,0.33,0.20
9.38,0.56,0.20
9.02,0.42,0.20
8.92,0.59,0.20
8.83,0.54,0.20
9.38,0.30,-0.30
8.80,0.49,0.20
10.34,0.82,0.20
9.91,0.73,0.20
9.67,0.52,0.20
10.26,0.98,0.20
9.98,0.51,0.20
9.08,0.30,-0.30
9.75,0.64,0.20
9.79,0.88,0.20
9.66,0.56,0.20
9.83,0.77,0.20
9.79,1.03,0.20
9.43,0.30,-0.30
9.49,0.44,0.20
9.66,0.53,0.20
9.24,0.57,0.20
9.64,0.56,0.20
10.13,0.79,0.20
10.46,0.98,0.20
9.48,0.35,0.20
8.84,0.50,0.20
9.54,0.43,0.20
10.06,0.67,0.20
9.03,0.45,0.20
9.87,0.71,0.20
9.79,0.76,0.20
8.84,0.50,0.20
9.50,0.76,0.20
9.37,0.69,0.20
9.61,0.78,0.20
9.25,0.60,0.20
10.06,0.91,0.20
9.42,0.42,0.20
10.05,0.69,0.20
9.33,0.52,0.20
9.18,0.58,0.20
10.00,0.88,0.20
9.47,0.98,0.20
9.45,0.70,0.20
9.83,0.58,0.20
9.36,0.45,0.20
8.90,0.55,0.20
9.51,0.67,0.20
10.05,0.99,0.20
9.58,0.56,0.20
9.61,0.66,0.20
9.71,0.52,0.20
9.56,0.49,0.20
8.90,0.34,0.20
9.08,0.44,0.20
9.42,0.37,0.20
9.18,0.30,-0.30
9.86,0.48,0.20
10.02,1.01,0.20
9.68,0.66,0.20
9.54,0.44,0.20
9.67,0.75,0.20
10.21,0.70,0.20
9.39,0.66,0.20
9.13,0.49,0.20
9.51,0.58,0.20
9.72,0.55,0.20
9.88,0.48,0.20
9.25,0.54,0.20
9.95,0.54,0.20
9.51,0.38,0.20
10.52,1.08,0.20
9.57,0.69,0.20
8.79,0.30,-0.30
9.03,0.32,0.20
9.73,0.80,0.20
8.95,0.32,0.20
9.01,0.42,0.20
9.51,0.48,0.20
9.48,0.51,0.20
9.88,0.91,0.20
9.49,0.46,0.20
10.17,0.77,0.20
9.53,0.55,0.20
10.07,0.81,0.20
9.77,0.72,0.20
9.30,0.58,0.20
9.54,0.50,0.20
9.52,0.77,0.20
9.62,0.81,0.20
8.91,0.35,0.20
9.27,0.30,-0.30
9.67,0.46,0.20
9.91,0.57,0.20
8.86,0.40,0.20
9.24,0.56,0.20
9.72,0.65,0.20
9.15,0.78,0.20
9.40,0.79,0.20
9.36,0.34,0.20
9.08,0.49,0.20
9.39,0.61,0.20
9.03,0.51,0.20
10.37,0.86,0.20
9.47,0.66,0.20
10.30,0.87,0.20
9.81,0.55,0.20
9.31,0.30,-0.30
10.00,0.68,0.20
9.12,0.44,0.20
9.49,0.55,0.20
9.82,0.59,0.20
8.98,0.31,0.20
9.68,0.41,0.20
9.43,0.37,0.20
8.87,0.35,0.20
10.40,0.88,0.20
9.63,0.70,0.20
9.48,0.65,0.20
9.76,0.83,0.20
9.17,0.41,0.20
9.27,0.30,-0.30
9.94,0.97,0.20
8.98,0.34,0.20
10.21,0.81,0.20
9.07,0.51,0.20
9.61,0.66,0.20
9.39,0.44,0.20
8.86,0.46,0.20
9.61,0.48,0.20
8.85,0.60,0.20
10.02,0.79,0.20
9.17,0.61,0.20
9.67,0.85,0.20
9.89,0.71,0.20
8.91,0.30,-0.30
9.69,0.61,0.20
10.15,0.92,0.20
9.93,0.87,0.20
9.80,0.69,0.20
9.38,0.63,0.20
9.23,0.32,0.20
9.58,0.49,0.20
9.12,0.65,0.20
9.12,0.45,0.20
9.90,0.58,0.20
9.14,0.41,0.20
10.17,0.84,0.20
9.71,0.44,0.20
8.82,0.46,0.20
9.64,0.63,0.20
9.01,0.32,0.20
9.66,0.64,0.20
8.90,0.30,-0.30
8.93,0.54,0.20
10.42,0.88,0.20
9.44,0.51,0.20
8.83,0.47,0.20
9.23,0.82,0.20
9.11,0.37,0.20
9.30,0.30,-0.30
9.06,0.30,-0.30
9.24,0.52,0.20
10.30,0.76,0.20
9.54,0.35,0.20
9.01,0.41,0.20
8.86,0.47,0.20
10.00,0.68,0.20
9.91,0.56,0.20
9.76,0.57,0.20
8.76,0.32,0.20
10.01,0.73,0.20
9.87,0.82,0.20
10.04,0.60,0.20
10.35,0.80,0.20
9.70,0.49,0.20
9.09,0.39,0.20
9.32,0.30,-0.30
9.48,0.43,0.20
10.01,0.83,0.20
9.66,0.64,0.20
9.88,0.58,0.20
9.37,0.67,0.20
9.72,0.55,0.20
9.98,0.77,0.20
10.02,0.86,0.20
9.83,0.81,0.20
9.63,0.40,0.20
10.09,1.13,0.20
9.64,0.75,0.20
10.00,0.70,0.20
9.80,0.84,0.20
9.19,0.38,0.20
10.15,0.59,0.20
9.24,0.34,0.20
9.58,0.51,0.20
9.65,0.44,0.20
10.16,0.78,0.20
9.33,0.64,0.20
9.47,0.63,0.20
10.34,0.93,0.20
9.98,0.64,0.20
9.72,0.51,0.20
10.01,0.79,0.20
10.14,0.80,0.20
9.59,0.65,0.20
9.38,0.48,0.20
8.84,0.38,0.20
8.82,0.35,0.20
9.53,0.41,0.20
9.06,0.37,0.20
8.73,0.37,0.20
9.92,0.72,0.20
9.52,0.50,0.20
10.23,0.84,0.20
10.00,1.12,0.20
9.29,0.40,0.20
9.94,0.94,0.20
9.76,0.53,0.20
9.57,0.35,0.20
9.74,0.60,0.20
9.53,0.65,0.20
8.88,0.36,0.20
9.25,0.36,0.20
9.81,0.67,0.20
9.27,0.73,0.20
9.44,0.70,0.20
9.08,0.51,0.20
10.06,0.82,0.20
9.13,0.33,0.20
9.44,0.44,0.20
8.74,0.50,0.20
9.51,0.50,0.20
10.42,0.97,0.20
9.29,0.51,0.20
10.16,0.84,0.20
10.06,0.96,0.20
8.90,0.50,0.20
10.24,1.02,0.20
10.01,0.76,0.20
10.26,0.74,0.20
8.88,0.44,0.20
8.85,0.55,0.20
9.24,0.74,0.20
9.47,0.68,0.20
9.63,0.35,0.20
9.27,0.30,-0.30
9.19,0.38,0.20
9.79,0.79,0.20
9.50,0.74,0.20
9.05,0.34,0.20
9.63,0.95,0.20
9.79,0.66,0.20
8.87,0.32,0.20
10.19,0.99,0.20
9.53,0.52,0.20
10.02,0.73,0.20
9.15,0.63,0.20
9.48,0.57,0.20
9.84,0.52,0.20
10.02,1.03,0.20
8.98,0.41,0.20
10.05,1.09,0.20
9.41,0.94,0.20
9.67,0.80,0.20
9.97,0.72,0.20
9.46,0.30,-0.30
9.52,0.30,-0.30
9.46,0.70,0.20
10.28,0.82,0.20
9.54,0.48,0.20
9.20,0.72,0.20
9.41,0.30,-0.30
9.05,0.52,0.20
8.90,0.30,-0.30
9.93,1.08,0.20
9.35,0.42,0.20
10.09,0.92,0.20
9.98,0.92,0.20
10.09,1.19,0.20
10.12,1.02,0.20
10.03,0.72,0.20
9.50,0.54,0.20
9.89,1.04,0.20
9.38,0.42,0.20
10.03,0.87,0.20
9.91,1.00,0.20
9.53,0.67,0.20
9.88,0.89,0.20
9.88,0.78,0.20
9.30,0.59,0.20
9.56,1.02,0.20
9.95,0.80,0.20
9.26,0.42,0.20
9.67,0.88,0.20
9.29,0.46,0.20
9.33,0.38,0.20
9.75,0.88,0.20
9.83,1.09,0.20
9.30,0.37,0.20
9.16,0.48,0.20
9.41,0.36,0.20
9.45,0.73,0.20
9.50,0.82,0.20
10.08,0.61,0.20
9.32,0.46,0.20
9.86,0.59,0.20
9.89,0.65,0.20
9.41,0.56,0.20
9.23,0.85,0.20
9.21,0.80,0.20
10.29,0.86,0.20
8.75,0.30,-0.30
10.13,0.65,0.20
8.78,0.41,0.20
9.99,0.62,0.20
9.58,0.59,0.20
9.90,0.55,0.20
9.56,0.52,0.20
9.38,0.47,0.20
10.28,0.96,0.20
10.14,1.04,0.20
8.95,0.30,-0.30
9.84,0.56,0.20
9.86,0.77,0.20
9.30,0.59,0.20
9.72,0.54,0.20
9.63,0.36,0.20
10.10,0.70,0.20
9.67,0.62,0.20
9.40,0.33,0.20
10.01,0.82,0.20
8.80,0.30,-0.30
9.02,0.49,0.20
9.13,0.49,0.20
9.46,0.37,0.20
9.57,0.52,0.20
9.31,0.47,0.20
9.83,0.72,0.20
9.98,1.02,0.20
8.96,0.30,-0.30
9.49,0.71,0.20
10.23,1.03,0.20
9.29,0.65,0.20
10.05,0.78,0.20
9.90,0.81,0.20
10.45,0.87,0.20
9.08,0.58,0.20
9.24,0.64,0.20
9.90,0.71,0.20
9.46,0.48,0.20
10.10,0.65,0.20
9.84,0.70,0.20
9.88,0.80,0.20
9.09,0.53,0.20
9.30,0.46,0.20
9.43,0.50,0.20
9.78,0.51,0.20
9.72,0.73,0.20
10.36,0.86,0.20
9.63,0.86,0.20
9.77,0.58,0.20
9.77,0.80,0.20
9.89,0.98,0.20
8.93,0.43,0.20
9.91,0.61,0.20
9.73,0.66,0.20
9.30,0.45,0.20
9.75,0.70,0.20
9.20,0.48,0.20
9.30,0.30,-0.30
9.56,0.39,0.20
9.85,0.67,0.20
10.45,0.93,0.20
9.54,0.58,0.20
9.33,0.39,0.20
8.89,0.62,0.20
8.81,0.36,0.20
9.43,0.72,0.20
9.56,0.58,0.20
9.14,0.64,0.20
9.39,0.51,0.20
9.09,0.46,0.20
9.35,0.30,-0.30
9.45,0.50,0.20
9.46,0.32,0.20
9.40,0.46,0.20
10.03,0.68,0.20
8.97,0.57,0.20
9.96,0.97,0.20
9.28,0.30,-0.30
10.04,0.63,0.20
9.23,0.30,-0.30
8.87,0.37,0.20
10.02,0.53,0.20
9.43,0.80,0.20
8.88,0.44,0.20
9.35,0.45,0.20
10.36,0.84,0.20
9.48,0.72,0.20
10.27,0.87,0.20
9.02,0.35,0.20
9.99,1.03,0.20
9.96,0.60,0.20
9.88,0.44,0.20
10.37,0.91,0.20
9.39,0.53,0.20
9.14,0.38,0.20
9.02,0.61,0.20
9.57,0.88,0.20
9.61,0.64,0.20
9.78,0.88,0.20
9.25,0.37,0.20
9.67,0.38,0.20
9.45,0.58,0.20
8.92,0.55,0.20
9.95,0.61,0.20
8.87,0.34,0.20
9.36,0.55,0.20
9.38,0.32,0.20
10.43,0.92,0.20
10.33,0.84,0.20
9.31,0.30,-0.30
9.76,0.66,0.20
10.40,1.00,0.20
9.43,0.43,0.20
9.41,0.62,0.20
9.75,0.59,0.20
8.97,0.30,-0.30
8.99,0.41,0.20
9.55,0.92,0.20
9.25,0.48,0.20
10.27,1.03,0.20
9.20,0.30,0.20
8.92,0.55,0.20
9.65,0.68,0.20
10.06,0.72,0.20
10.08,0.90,0.20
9.30,0.85,0.20
10.58,0.94,0.20
9.30,0.38,0.20
9.38,0.48,0.20
9.22,0.58,0.20
9.35,0.40,0.20
9.23,0.72,0.20
9.95,0.60,0.20
9.46,0.39,0.20
9.87,0.58,0.20
10.14,0.64,0.20
10.49,1.17,0.20
9.84,0.37,0.20
9.98,0.71,0.20
10.33,0.92,0.20
9.11,0.56,0.20
9.89,0.62,0.20
9.57,0.62,0.20
9.98,0.60,0.20
10.24,1.16,0.20
9.32,0.49,0.20
10.32,0.75,0.20
9.59,0.48,0.20
9.04,0.44,0.20
9.20,0.32,0.20
9.36,0.30,-0.30
10.37,0.89,0.20
10.04,0.65,0.20
9.03,0.65,0.20
9.20,0.83,0.20
9.00,0.54,0.20
8.79,0.47,0.20
9.47,0.36,0.20
10.65,0.94,0.20
9.29,0.30,-0.30
8.96,0.46,0.20
9.21,0.38,0.20
8.82,0.42,0.20
9.35,0.42,0.20
9.67,0.62,0.20
9.14,0.45,0.20
10.08,0.65,0.20
9.32,0.62,0.20
9.37,0.73,0.20
10.00,0.82,0.20
10.23,1.00,0.20
9.97,0.94,0.20
10.32,1.15,0.20
9.12,0.39,0.20
10.26,0.74,0.20
9.50,0.79,0.20
9.53,0.84,0.20
9.95,0.80,0.20
9.33,0.43,0.20
9.91,0.77,0.20
9.63,0.67,0.20
9.42,0.75,0.20
9.02,0.58,0.20
9.09,0.64,0.20
9.61,0.61,0.20
9.41,0.62,0.20
8.94,0.70,0.20
9.86,0.66,0.20
9.29,0.69,0.20
10.02,0.62,0.20
9.81,0.42,0.20
10.14,1.20,0.20
