MV,LogP,[Fe/H]
-3.719556171017955,0.7825442840100101,0.11
-2.2805498374461037,1.2152144290872275,0.14
-4.246772654437669,1.1701149694966517,0.11
-4.341018051875665,1.0653182378037371,0.04
-4.472445427110765,0.898286278589123,0.1
-4.290081683433682,1.084111351940677,0.15
-3.587154443057237,0.6700602174731343,0.06
-4.489238061335202,1.3079878171590154,0.14
-3.1959586958904893,0.6288995644206067,0.03
-3.9609132566921077,0.9891827512555476,0.11
-3.673627993448338,0.8009918612601714,0.17
-2.9938390407619515,0.5647843845039867,0.11
-3.183898131773848,0.6057358938767466,0.0
-3.140664238239303,0.5848963441374498,0.03
-3.534994758304723,0.7356787259059046,0.07
-3.35195004635048,0.6097011023793995,0.1
-4.236304408301644,1.1019188336804235,0.36
-4.824694721959489,1.234036154915847,0.23
-4.384354737287673,1.1347825293818554,0.1
-4.453861843409701,1.1792644643390253,0.14
-5.787467780068866,1.4317657026253479,0.18
-4.57705114297257,1.1384605947257023,0.15
-2.6876626359866367,0.33021078457152797,0.08
-4.124155283220615,1.0328604159521435,0.34
-4.432614085504036,1.1676126727275302,0.12
-6.0813230585244655,1.5891562058930924,0.07
-4.440296050991767,1.1018844871675422,0.2
-4.223286211918513,1.0658037125750215,0.11
-4.556461589629779,0.9026011306665312,0.14
-3.4130630227376044,0.3798491787628299,-0.08
-3.5819213181868297,0.6924944075030844,-0.05
-3.867606598388846,0.52283531366053,0.08
-4.018404917562882,0.6269559514354474,0.04
-3.9334993780215086,0.6867256210745422,0.04
-3.459883397091318,0.712144414214886,0.23
-3.3059970190862513,0.4480876666923411,0.07
-3.694215193914202,0.7988577317474856,0.04
-3.8480631507811776,0.8102325179950841,0.04
-4.086429024843062,0.6340740254874684,0.11
-3.353004559524729,0.7208205817703439,0.17
-2.6345623290686344,0.3144992279731516,0.08
-3.376426810038324,0.6399842480415886,0.07
-4.728960428604203,0.8790958795000727,0.01
-2.2562802314300994,0.17347764345299457,0.0
-3.2735024780234943,0.655906418180215,0.12
-3.6385691014340003,0.8329557506045985,0.11
-3.4643397409115995,0.6458151182966418,0.06
-3.7465806604722296,0.969276095488932,0.07
-3.39295069485229,0.4273237863572472,-0.08
-3.6663529413461102,0.5164031484474031,0.01
